complaint_text,category,priority
"Road signs are missing at the in front of Adarsh School intersection, and cars are going the wrong way.",Roads,Medium
"The traffic lights at near the KSRTC Bus Stand junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
"The bridge at at Gandhinagar Park has a visible, large crack in it. It looks unsafe!",Roads,Urgent
"The footpath on near SIT College is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
Our entire area (at Gandhi Circle) has had no power for over 8 hours.,Electricity,Medium
The streetlight (Pole #E-99) at at Vinayaka Nagar is on 24/7. It never turns off.,Electricity,Low
Tree branches at on the Ring Road are touching the power lines and need to be trimmed.,Electricity,Low
Request to place a new community garbage bin at at Vinayaka Nagar.,Waste,Low
"The footpath on 1st Main, BTM Layout is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
A huge sinkhole has opened up in the middle of B.H. Road! A car could fall in.,Roads,Urgent
Request for a bulk waste pickup for an old mattress at in front of Adarsh School.,Waste,Low
The 'No Parking' sign at at Melekote has been knocked down.,Roads,Low
A multi-car accident just happened at near the KSRTC Bus Stand due to a broken road. Need help.,Roads,Urgent
I smell burning plastic from the main electrical box at in the Industrial Area. It's a fire hazard.,Electricity,Urgent
"A major water main has burst on at Vinayaka Nagar, and it's flooding the street!",Water,Urgent
A large dead animal (cow/dog) is on at Vinayaka Nagar and needs to be removed immediately.,Waste,Urgent
Requesting information on the water supply schedule for at the City Market.,Water,Low
The water pressure in at Melekote has been extremely low for three days.,Water,Medium
The 'Do Not Litter' sign at near the District Hospital is broken.,Waste,Low
Toxic chemical barrels have been dumped near the lake at at Melekote.,Waste,Urgent
Request to repaint the lane markings on B.H. Road.,Roads,Low
The storm drain on at the City Market is completely blocked with plastic. It will flood when it rains.,Waste,Medium
The water pressure in in Jayanagar 3rd Block has been extremely low for three days.,Water,Medium
The electrical junction box at near SIT College is open and exposed to rain.,Electricity,Medium
"The 'Do Not Litter' sign at 5th Cross, SS Puram is broken.",Waste,Low
The streetlight (Pole #E-99) at at Melekote is on 24/7. It never turns off.,Electricity,Low
Request to repaint the lane markings on near SIT College.,Roads,Low
My electricity meter at B.H. Road is not working. The display is blank.,Electricity,Low
A high-tension power line has snapped and is sparking on the ground at at Gandhinagar Park!,Electricity,Urgent
"Tree branches at 5th Cross, SS Puram are touching the power lines and need to be trimmed.",Electricity,Low
"All the streetlights on in front of the Railway Station are out, making it very dark and unsafe at night.",Roads,Medium
"A car crashed into the electric pole at 5th Cross, SS Puram, and it's about to fall.",Electricity,Urgent
"The traffic lights at on Kuvempu Main Road junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
"The public tap at 5th Cross, SS Puram is constantly dripping.",Water,Low
Raw sewage is backing up into homes on at Gandhi Circle. This is a critical health hazard.,Water,Urgent
"An entire street (near the old post office) has no working streetlights, it's pitch black.",Electricity,Medium
The community water tank at at the City Market is overflowing and about to collapse.,Water,Urgent
The streetlight at in Jayanagar 3rd Block is flickering non-stop.,Electricity,Low
"Requesting a check on our water meter at at Gandhi Circle, the bill is 10x the normal amount.",Water,Medium
Toxic chemical barrels have been dumped near the lake at in the Industrial Area.,Waste,Urgent
"A water pipe has a constant, steady leak at MG Road. Wasting so much water.",Water,Medium
The streetlight at MG Road is flickering non-stop.,Electricity,Low
"The footpath on 5th Cross, SS Puram is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
The garbage collection truck keeps spilling trash all over at Vinayaka Nagar and not cleaning it.,Waste,Medium
My electricity meter at near the KSRTC Bus Stand is not working. The display is blank.,Electricity,Low
"The bridge at B.H. Road has a visible, large crack in it. It looks unsafe!",Roads,Urgent
A large pile of construction debris is blocking the footpath at near SIT College.,Waste,Medium
"Road signs are missing at the near the old post office intersection, and cars are going the wrong way.",Roads,Medium
"Road signs are missing at the at Gandhinagar Park intersection, and cars are going the wrong way.",Roads,Medium
The 'Do Not Litter' sign at at Vinayaka Nagar is broken.,Waste,Low
The public tap at B.H. Road is constantly dripping.,Water,Low
Please install a new speed bump in our residential area at MG Road.,Roads,Low
A high-tension power line has snapped and is sparking on the ground at near the old post office!,Electricity,Urgent
The public tap at in the Industrial Area is constantly dripping.,Water,Low
"An entire street (in Jayanagar 3rd Block) has no working streetlights, it's pitch black.",Electricity,Medium
"The water from my tap has a slight odor. Can someone inspect 5th Cross, SS Puram?",Water,Low
"The streetlight (Pole #E-99) at 1st Main, BTM Layout is on 24/7. It never turns off.",Electricity,Low
Request for a bulk waste pickup for an old mattress at on the Ring Road.,Waste,Low
"Our water has been brown and muddy for 2 days at 5th Cross, SS Puram. It's undrinkable.",Water,Medium
"The water from my tap has a slight odor. Can someone inspect 1st Main, BTM Layout?",Water,Low
"There is a very large, deep pothole at near SIT College that has damaged my car's tire.",Roads,Medium
The street sweeper has not come to Town Hall Circle in two weeks.,Waste,Low
"The bridge at MG Road has a visible, large crack in it. It looks unsafe!",Roads,Urgent
Live wires are exposed in a flooded area at near SIT College. Extremely dangerous.,Electricity,Urgent
"The bridge at in front of Adarsh School has a visible, large crack in it. It looks unsafe!",Roads,Urgent
"The public toilet at near the KSRTC Bus Stand is unusable, filthy, and has no water.",Waste,Medium
Raw sewage is backing up into homes on MG Road. This is a critical health hazard.,Water,Urgent
"The voltage at on Kuvempu Main Road is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
A high-tension power line has snapped and is sparking on the ground at near SIT College!,Electricity,Urgent
Request to repaint the lane markings on at Gandhinagar Park.,Roads,Low
The main sewer line at at Vinayaka Nagar is blocked and overflowing into the street.,Waste,Urgent
"The storm drain on 5th Cross, SS Puram is completely blocked with plastic. It will flood when it rains.",Waste,Medium
A small pothole is forming at at Gandhi Circle. Please fix it before it gets bigger.,Roads,Low
A large dead animal (cow/dog) is on in front of the Railway Station and needs to be removed immediately.,Waste,Urgent
The streetlight at Town Hall Circle is flickering non-stop.,Electricity,Low
"The speed breaker at at Vinayaka Nagar is broken, and sharp metal rods are sticking out.",Roads,Medium
"An entire street (in the Industrial Area) has no working streetlights, it's pitch black.",Electricity,Medium
The main power cable to our building at near the KSRTC Bus Stand is visibly damaged.,Electricity,Medium
"My neighbor at near the District Hospital is burning plastic waste every night, causing pollution.",Waste,Low
Requesting information on the water supply schedule for at Gandhinagar Park.,Water,Low
"The voltage at B.H. Road is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
The storm drain on on the Ring Road is completely blocked with plastic. It will flood when it rains.,Waste,Medium
"Medical waste (needles, masks) has been dumped in the children's park at on Kuvempu Main Road!",Waste,Urgent
A high-tension power line has snapped and is sparking on the ground at at Gandhi Circle!,Electricity,Urgent
"A small pothole is forming at 5th Cross, SS Puram. Please fix it before it gets bigger.",Roads,Low
The cap on the water tank at near the old post office is loose and needs to be fixed.,Water,Low
My water bill for at Gandhinagar Park seems to be incorrect. Please check the reading.,Water,Low
Our entire area (at Melekote) has had no power for over 8 hours.,Electricity,Medium
A large pile of construction debris is blocking the footpath at B.H. Road.,Waste,Medium
"All the streetlights on on Kuvempu Main Road are out, making it very dark and unsafe at night.",Roads,Medium
"Road signs are missing at the at Gandhinagar Park intersection, and cars are going the wrong way.",Roads,Medium
Requesting information on the water supply schedule for MG Road.,Water,Low
The 'No Parking' sign at near the old post office has been knocked down.,Roads,Low
My electricity meter at in Jayanagar 3rd Block is not working. The display is blank.,Electricity,Low
Our water has been brown and muddy for 2 days at near the old post office. It's undrinkable.,Water,Medium
"My neighbor at in Jayanagar 3rd Block is burning plastic waste every night, causing pollution.",Waste,Low
The main sewer line at MG Road is blocked and overflowing into the street.,Waste,Urgent
"The footpath on near the old post office is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
"The traffic lights at near SIT College junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
Tree branches at near the KSRTC Bus Stand are touching the power lines and need to be trimmed.,Electricity,Low
The 'No Parking' sign at at Melekote has been knocked down.,Roads,Low
"The bridge at at the City Market has a visible, large crack in it. It looks unsafe!",Roads,Urgent
The zebra crossing paint at in front of the Railway Station is completely faded.,Roads,Low
Request to place a new community garbage bin at in Jayanagar 3rd Block.,Waste,Low
"My electricity meter at 1st Main, BTM Layout is not working. The display is blank.",Electricity,Low
"All the streetlights on at the City Market are out, making it very dark and unsafe at night.",Roads,Medium
"The public toilet at MG Road is unusable, filthy, and has no water.",Waste,Medium
"Road signs are missing at the in Jayanagar 3rd Block intersection, and cars are going the wrong way.",Roads,Medium
The water pressure in B.H. Road has been extremely low for three days.,Water,Medium
The cap on the water tank at on the Ring Road is loose and needs to be fixed.,Water,Low
"Road signs are missing at the at Gandhi Circle intersection, and cars are going the wrong way.",Roads,Medium
I smell burning plastic from the main electrical box at near the old post office. It's a fire hazard.,Electricity,Urgent
"The footpath on at Gandhinagar Park is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
"Request to repaint the lane markings on 5th Cross, SS Puram.",Roads,Low
"A water pipe is gushing water onto the road at near the old post office, causing a huge sinkhole.",Water,Urgent
Toxic chemical barrels have been dumped near the lake at near the old post office.,Waste,Urgent
"All the streetlights on MG Road are out, making it very dark and unsafe at night.",Roads,Medium
Our entire apartment complex (near the District Hospital) has had no water for 24 hours. We need a tanker.,Water,Urgent
"The main manhole cover is broken and open at near SIT College, it's dangerous.",Water,Medium
The main sewer line at in front of Adarsh School is blocked and overflowing into the street.,Waste,Urgent
"Request for a new electricity connection at 1st Main, BTM Layout.",Electricity,Low
Requesting information on the water supply schedule for on the Ring Road.,Water,Low
"A water pipe has a constant, steady leak at on the Ring Road. Wasting so much water.",Water,Medium
"The voltage at 5th Cross, SS Puram is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
"Medical waste (needles, masks) has been dumped in the children's park at at Gandhinagar Park!",Waste,Urgent
The garbage collection truck keeps spilling trash all over on the Ring Road and not cleaning it.,Waste,Medium
The main sewer line at near the old post office is blocked and overflowing into the street.,Waste,Urgent
"An entire street (at Vinayaka Nagar) has no working streetlights, it's pitch black.",Electricity,Medium
The transformer at near the District Hospital just exploded! There is smoke and fire.,Electricity,Urgent
Live wires are exposed in a flooded area at MG Road. Extremely dangerous.,Electricity,Urgent
The main sewer line at in the Industrial Area is blocked and overflowing into the street.,Waste,Urgent
The streetlight at in front of Adarsh School is flickering non-stop.,Electricity,Low
"The main power cable to our building at 1st Main, BTM Layout is visibly damaged.",Electricity,Medium
"The water from my tap has a slight odor. Can someone inspect 1st Main, BTM Layout?",Water,Low
A large pile of construction debris is blocking the footpath at at Gandhi Circle.,Waste,Medium
The cap on the water tank at B.H. Road is loose and needs to be fixed.,Water,Low
The transformer at B.H. Road just exploded! There is smoke and fire.,Electricity,Urgent
"The voltage at in front of the Railway Station is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
Garbage has not been collected from at Gandhi Circle for 5 days. It stinks and is attracting dogs.,Waste,Medium
"The traffic lights at B.H. Road junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
"Request for a bulk waste pickup for an old mattress at 5th Cross, SS Puram.",Waste,Low
The streetlight at in Jayanagar 3rd Block is flickering non-stop.,Electricity,Low
Request to repaint the lane markings on B.H. Road.,Roads,Low
The community water tank at near the District Hospital is overflowing and about to collapse.,Water,Urgent
